hospital_id,hospital_name,address,latitude,longitude,emergency_room_yn,operating_hours,hospital_status,phone,region,operating_hours_imputed
S_A1100011,가톨릭대학교여의도성모병원,"서울특별시 영등포구 63로 10, 여의도성모병원 (여의도동)",37.51827233800711,126.93673129599132,1,월 09:00~17:00 | 화 09:00~17:00 | 수 09:00~17:00 | 목 09:00~17:00 | 금 09:00~17:00 | 토 09:00~12:00 | 일 10:00~16:00 | 공휴일 10:00~16:00,운영중,02-1661-7575,서울,0
S_A1121013,가톨릭대학교은평성모병원,서울특별시 은평구 통일로 1021 (진관동),37.63360840972685,126.91615048739686,1,월 08:30~17:00 | 화 08:30~17:00 | 수 08:30~17:00 | 목 08:30~17:00 | 금 08:30~17:00 | 토 08:30~12:00 | 일 10:00~16:00 | 공휴일 10:00~16:00,운영중,02-1811-7755,서울,0
S_A1100047,강남고려병원,서울특별시 관악구 관악로 242 (봉천동),37.4856188363947,126.956781703053,1,월 09:00~18:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~18:00 | 금 09:00~18:00 | 토 09:00~13:00 | 일 10:00~16:00 | 공휴일 10:00~16:00,운영중,1661-8267,서울,0
S_A1100141,강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",37.48561217992573,127.0395873429168,1,월 00:00~23:59 | 화 00:00~23:59 | 수 00:00~23:59 | 목 00:00~23:59 | 금 00:00~23:59 | 토 00:00~23:59 | 일 00:00~23:59 | 공휴일 00:00~23:59,운영중,1544-7522,서울,0
S_A1100076,강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",37.4816513439454,126.911648078471,1,월 09:00~18:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~18:00 | 금 09:00~18:00 | 토 09:00~13:00 | 일 09:00~16:00 | 공휴일 09:00~16:00,운영중,02-853-4600,서울,0
S_A1100043,강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),37.5520459324005,127.157084787845,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:00 | 일 09:00~16:00 | 공휴일 09:00~16:00,운영중,02-440-7114,서울,0
S_A1100006,강북삼성병원,서울특별시 종로구 새문안로 29 (평동),37.56849763123383,126.96793805451702,1,월 08:30~17:00 | 화 08:30~17:00 | 수 08:30~17:00 | 목 08:30~17:00 | 금 08:30~17:00 | 토 08:30~12:30 | 일 09:00~13:00 | 공휴일 09:00~13:00,운영중,02-2001-2001,서울,0
S_A1121842,강북으뜸병원,"서울특별시 강북구 도봉로 187, 지하1층, 지상1층~지상5층 (미아동)",37.6254205559935,127.026184524499,1,월 09:00~20:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~20:00 | 금 09:00~18:00 | 토 09:00~13:00 | 일 10:00~20:00 | 공휴일 09:30~18:30,운영중,02-986-0334,서울,0
S_A1117285,강서케이병원,"서울특별시 강서구 가로공원로 187, 강서케이병원 (화곡동)",37.5373576230977,126.836699017573,1,월 09:00~18:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~18:00 | 금 09:00~18:00 | 토 09:00~13:00 | 일 09:00~13:00 | 공휴일 09:00~13:00,운영중,02-1833-7530,서울,0
S_A1125429,강철병원,"서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)",37.50234558341771,127.09429683872202,1,월 09:00~18:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~18:00 | 금 09:00~18:00 | 토 09:00~13:00 | 일 10:00~14:00 | 공휴일 10:00~14:00,운영중,02-6287-5500,서울,0
S_A1100002,건국대학교병원,서울특별시 광진구 능동로 120-1 (화양동),37.54084479467721,127.0721229093036,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:30 | 일 10:00~13:30 | 공휴일 10:00~13:30,운영중,1588-1533,서울,0
S_A1100039,경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",37.49641321356079,127.123487935032,1,월 09:00~17:30 | 화 09:00~17:30 | 수 09:00~17:30 | 목 09:00~17:30 | 금 09:00~17:30 | 토 09:00~12:30 | 일 09:30~16:00 | 공휴일 09:30~16:00,운영중,02-3400-1114,서울,0
S_A1100001,경희대학교병원,서울특별시 동대문구 경희대로 23 (회기동),37.5938765502235,127.05183223390304,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 09:00~12:30 | 일 09:00~18:00 | 공휴일 10:00~15:00,운영중,02-958-8114,서울,0
S_A1100014,고려대학교의과대학부속구로병원,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",37.49211114525054,126.8847449363546,1,월 09:00~17:30 | 화 09:00~17:30 | 수 09:00~17:30 | 목 09:00~17:30 | 금 09:00~17:30 | 토 09:00~12:00 | 일 10:30~16:00 | 공휴일 10:30~16:00,운영중,02-2626-1114,서울,0
S_A1100026,구로성심병원,"서울특별시 구로구 경인로 427, 구로성심병원 (고척동)",37.49964578669388,126.86636039556484,1,월 09:00~17:30 | 화 09:00~17:30 | 수 09:00~17:30 | 목 09:00~17:30 | 금 09:00~17:30 | 토 09:00~12:30 | 일 09:00~18:00 | 공휴일 09:00~18:00,운영중,02-2067-1500,서울,0
S_A1100052,국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",37.56733955813183,127.00579539705473,1,월 08:30~17:00 | 화 08:30~17:00 | 수 08:30~17:00 | 목 08:30~17:00 | 금 08:30~17:00 | 토 08:30~12:00 | 일 00:00~24:00 | 공휴일 00:00~24:00,운영중,02-2260-7114,서울,0
S_A1122033,기쁨병원,"서울특별시 서초구 서초중앙로 4, 기쁨병원 (서초동)",37.482713030212,127.018063486739,1,월 08:30~17:00 | 화 08:30~17:00 | 수 08:30~17:00 | 목 08:30~17:00 | 금 08:30~17:00 | 토 08:30~13:00 | 일 10:00~16:30 | 공휴일 09:00~14:00,운영중,02-570-1234,서울,0
S_A1100048,노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",37.636442927386746,127.07000281991384,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:30 | 일 09:30~16:30 | 공휴일 09:00~15:00,운영중,02-970-8000,서울,0
S_A1100044,녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),37.58362083896108,127.08605546969356,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:30 | 일 09:30~16:30 | 공휴일 09:00~15:00,운영중,02-490-2000,서울,0
S_A1100037,대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",37.49068925436284,126.90716948025135,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:30 | 일 09:00~15:00 | 공휴일 09:00~14:00,운영중,02-829-9000,서울,0
S_A1123234,더드림병원,"서울특별시 강남구 선릉로 404, 더드림병원 (대치동)",37.5009902618151,127.050967336445,1,월 09:00~18:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~18:00 | 금 09:00~18:00 | 토 09:00~13:00 | 일 10:00~14:00 | 공휴일 09:00~13:00,운영중,02-1661-1177,서울,0
S_A1100024,명지성모병원,"서울특별시 영등포구 도림로 156, 명지성모병원 (대림동)",37.4938507104387,126.89925446922592,1,월 08:30~18:00 | 화 08:30~17:30 | 수 08:30~18:00 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:30 | 일 09:00~13:00 | 공휴일 14:00~18:00,운영중,02-1899-1475,서울,0
S_A1100046,미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),37.55225379358291,126.83602535156236,1,월 08:30~17:00 | 화 08:30~17:00 | 수 08:30~17:00 | 목 08:30~17:00 | 금 08:30~17:00 | 토 08:30~12:30 | 일 09:00~13:00 | 공휴일 09:00~13:00,운영중,1588-2701,서울,0
S_A1100036,부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",37.55694089289359,126.8509495053918,1,월 09:00~18:00 | 화 09:00~17:00 | 수 09:00~17:00 | 목 09:00~17:00 | 금 09:00~17:00 | 토 09:00~13:00 | 일 13:00~17:00 | 공휴일 09:00~14:00,운영중,1577-7582,서울,0
S_A1100148,사랑의병원,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",37.4796247835746,126.956285774259,1,월 09:00~18:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~18:00 | 금 09:00~18:00 | 토 09:00~13:00 | 일 09:00~17:00 | 공휴일 09:00~12:30,운영중,02-880-0114,서울,0
S_A1100010,삼성서울병원,"서울특별시 강남구 일원로 81 (일원동, 삼성의료원)",37.48851613490445,127.08668245340024,1,월 08:30~15:30 | 화 08:30~15:30 | 수 08:30~15:30 | 목 08:30~15:30 | 금 08:30~15:30 | 토 09:00~13:00 | 일 09:00~14:00 | 공휴일 08:30~13:00,운영중,02-3410-2114,서울,0
S_A1100021,삼육서울병원,서울특별시 동대문구 망우로 82 (휘경동),37.5879920013054,127.0653288266823,1,월 09:00~17:00 | 화 09:00~17:00 | 수 09:00~17:00 | 목 09:00~17:00 | 금 09:00~12:30 | 토 09:00~13:00 | 일 09:00~17:00 | 공휴일 09:00~17:00,운영중,02-2244-0191,서울,0
S_A1100017,서울대학교병원,서울특별시 종로구 대학로 101 (연건동),37.57966608924356,126.99896308412193,1,월 08:00~18:00 | 화 08:00~18:00 | 수 08:00~18:00 | 목 08:00~18:00 | 금 08:00~18:00 | 토 08:00~13:30 | 일 09:00~14:00 | 공휴일 09:00~14:00,운영중,02-1588-5700,서울,0
S_A1107402,서울대학교치과병원,서울특별시 종로구 대학로 101 (연건동),37.5804523853297,126.997196437908,1,월 09:00~16:00 | 화 09:00~16:00 | 수 09:00~18:00 | 목 09:00~16:00 | 금 09:00~16:00 | 토 09:00~11:00 | 일 09:00~14:00 | 공휴일 09:00~14:00,운영중,1522-2700,서울,0
S_A1100050,서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",37.58419129209865,127.04983805981972,1,월 09:00~17:40 | 화 09:00~17:30 | 수 09:00~17:40 | 목 09:00~17:30 | 금 09:00~17:40 | 토 09:00~13:00 | 일 09:00~17:00 | 공휴일 10:00~13:00,운영중,02-966-1616,서울,0
S_A1100029,서울적십자병원,"서울특별시 종로구 새문안로 9, 적십자병원 (평동)",37.56715536263689,126.96699861289684,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 09:30~14:00 | 일 08:00~13:00 | 공휴일 09:30~18:30,운영중,02-2002-8000,서울,0
S_A1100022,서울특별시동부병원,서울특별시 동대문구 무학로 124 (용두동),37.57539886464885,127.03140257525509,1,월 09:00~17:30 | 화 09:00~17:30 | 수 09:00~17:30 | 목 09:00~17:30 | 금 09:00~17:30 | 토 09:00~14:00 | 일 10:00~14:00 | 공휴일 10:00~22:00,운영중,02-920-9114,서울,0
S_A1100040,서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),37.4937184009319,126.92404876254014,1,월 09:00~17:00 | 화 09:00~17:00 | 수 09:00~17:00 | 목 09:00~17:00 | 금 09:00~17:00 | 토 09:00~12:00 | 일 10:00~14:00 | 공휴일 10:00~22:00,운영중,02-870-2114,서울,0
S_A1100223,서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),37.51201935883779,126.8331299304024,1,월 09:00~17:30 | 화 09:00~17:30 | 수 09:00~17:30 | 목 09:00~17:30 | 금 09:00~17:30 | 토 09:00~12:00 | 일 10:00~14:00 | 공휴일 10:00~22:00,운영중,1566-6688,서울,0
S_A1100035,서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),37.61286931510163,127.0980910949257,1,월 09:00~17:30 | 화 09:00~17:30 | 수 09:00~17:30 | 목 09:00~17:30 | 금 09:00~17:30 | 토 09:00~12:00 | 일 10:00~14:00 | 공휴일 10:00~22:00,운영중,02-2276-7000,서울,0
S_A1100172,서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",37.6402559204261,127.028504374531,1,월 09:00~18:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~18:00 | 금 09:00~18:00 | 토 09:00~13:00 | 일 10:00~14:00 | 공휴일 09:00~18:00,운영중,02-1588-6853,서울,0
S_A1100028,성심의료재단강동성심병원,서울특별시 강동구 성안로 150 (길동),37.53598408220376,127.13526354631516,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:30 | 일 09:00~12:00 | 공휴일 09:00~14:00,운영중,02-2224-2114,서울,0
S_A1100054,성애의료재단성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",37.51205044957338,126.92236733617032,1,월 09:00~17:30 | 화 09:00~17:30 | 수 09:00~17:30 | 목 09:00~17:30 | 금 09:00~17:30 | 토 09:00~13:00 | 일 09:00~12:00 | 공휴일 09:30~18:00,운영중,02-840-7114,서울,0
S_A1100032,세란병원,서울특별시 종로구 통일로 256 (무악동),37.57534016994642,126.9577071892358,1,월 09:00~18:00 | 화 09:00~18:00 | 수 09:00~18:00 | 목 09:00~18:00 | 금 09:00~18:00 | 토 09:00~12:30 | 일 10:00~14:00 | 공휴일 10:00~14:00,운영중,02-737-0181,서울,0
S_A1100004,순천향대학교부속서울병원,서울특별시 용산구 대사관로 59 (한남동),37.53384172231443,127.00441798640304,1,월 09:00~17:00 | 화 09:00~17:00 | 수 09:00~17:00 | 목 09:00~17:00 | 금 09:00~17:00 | 토 09:00~12:00 | 일 09:30~14:00 | 공휴일 09:00~14:00,운영중,02-709-9114,서울,0
S_A1100063,신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",37.5525892651719,126.933734666413,1,월 08:30~17:00 | 화 08:30~17:00 | 수 08:30~17:00 | 목 08:30~17:00 | 금 08:30~17:00 | 토 08:30~12:30 | 일 09:00~15:00 | 공휴일 09:30~17:00,운영중,02-337-7582,서울,0
S_A1100045,씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",37.51884832876216,126.90367981067836,1,월 09:00~17:30 | 화 09:00~17:30 | 수 09:00~17:30 | 목 09:00~17:30 | 금 09:00~17:30 | 토 09:00~12:30 | 일 10:00~14:00 | 공휴일 09:30~12:00,운영중,02-2678-0001,서울,0
S_A1100015,연세대학교의과대학강남세브란스병원,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",37.49280698464548,127.04631254186796,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:30 | 일 10:00~16:00 | 공휴일 10:00~16:00,운영중,02-2019-3114,서울,0
S_A1100007,연세대학교의과대학세브란스병원,서울특별시 서대문구 연세로 50-1 (신촌동),37.56211711412639,126.94082769649864,1,월 08:30~17:30 | 화 08:30~17:30 | 수 08:30~17:30 | 목 08:30~17:30 | 금 08:30~17:30 | 토 08:30~12:30 | 일 10:00~16:00 | 공휴일 10:00~16:00,운영중,02-2228-0114,서울,0
S_A1120432,올바로병원,"서울특별시 서초구 명달로 102, 서원빌딩 1-6층 (서초동)",37.4862288033541,127.004386280268,1,월 00:00~24:00 | 화 00:00~24:00 | 수 00:00~24:00 | 목 00:00~24:00 | 금 00:00~24:00 | 토 00:00~24:00 | 일 00:00~24:00 | 공휴일 00:00~24:00,운영중,02-587-8875,서울,0
S_A1100042,우리들병원,서울특별시 강서구 하늘길 70 (과해동),37.56199597494205,126.7963653099318,1,월 09:30~17:30 | 화 09:30~20:00 | 수 09:30~20:00 | 목 09:30~17:30 | 금 09:30~17:30 | 토 09:30~13:00 | 일 09:00~13:00 | 공휴일 09:30~17:00,운영중,02-2660-7500,서울,0
